customer_id,first_name,last_name,gender,age,email,phone,city,state,postal_code,signup_date
1,Pari,Choudhary,Male,32,pari.choudhary1@gmail.com,9908710997,Lucknow,Uttar Pradesh,226043,2024-09-24
2,Aditya,Mehta,Female,37,aditya.mehta2@outlook.com,9231032107,Bengaluru,Karnataka,560025,2025-06-14
3,Kabir,Reddy,Male,19,kabir.reddy3@gmail.com,9107784627,Surat,Gujarat,395039,2025-03-19
4,Anika,Verma,Male,29,anika.verma4@yahoo.com,9286573688,Nagpur,Maharashtra,440076,2025-04-30
5,Ishaan,Yadav,Female,37,ishaan.yadav5@gmail.com,9195317349,Gurugram,Haryana,122090,2025-04-28
6,Saanvi,Agarwal,Female,39,saanvi.agarwal6@yahoo.com,9732035206,Kanpur,Uttar Pradesh,208027,2025-02-01
7,Suhani,Das,Female,23,suhani.das7@gmail.com,9058407706,New Delhi,Delhi,110099,2025-07-02
8,Vivaan,Iyer,Female,37,vivaan.iyer8@gmail.com,9445881603,Jaipur,Rajasthan,302087,2024-02-09
9,Shruti,Choudhary,Male,28,shruti.choudhary9@outlook.com,9096030669,New Delhi,Delhi,110000,2024-02-11
10,Navya,Gupta,Female,28,navya.gupta10@gmail.com,9538577875,Mumbai,Maharashtra,400084,2025-08-22
11,Aadhya,Reddy,Male,27,aadhya.reddy11@gmail.com,9087461550,Hyderabad,Telangana,500056,2024-11-03
12,Aarav,Sharma,Male,33,aarav.sharma12@outlook.com,9758177740,Gurugram,Haryana,122098,2024-01-28
13,Ishaan,Agarwal,Female,47,ishaan.agarwal13@outlook.com,9165946637,Surat,Gujarat,395021,2024-09-10
14,Krishna,Reddy,Female,23,krishna.reddy14@yahoo.com,9714344231,Kolkata,West Bengal,700056,2024-07-20
15,Anika,Singh,Female,39,anika.singh15@gmail.com,9351790255,Noida,Uttar Pradesh,201350,2025-02-28
16,Aarav,Tripathi,Male,23,aarav.tripathi16@yahoo.com,9035172641,Bhopal,Madhya Pradesh,462009,2024-10-20
17,Ayaan,Patel,Female,35,ayaan.patel17@gmail.com,9120289373,Nagpur,Maharashtra,440097,2025-01-24
18,Myra,Yadav,Female,34,myra.yadav18@gmail.com,9240170283,Mumbai,Maharashtra,400090,2025-03-08
19,Vihaan,Patel,Other,31,vihaan.patel19@yahoo.com,9639207013,Lucknow,Uttar Pradesh,226098,2025-07-09
20,Suhani,Tripathi,Female,36,suhani.tripathi20@outlook.com,9198367205,Nagpur,Maharashtra,440013,2024-06-27
21,Neha,Reddy,Female,63,neha.reddy21@outlook.com,9743197896,New Delhi,Delhi,110022,2025-04-27
22,Arjun,Ghosh,Male,18,arjun.ghosh22@outlook.com,9780710236,Surat,Gujarat,395082,2025-02-14
23,Sneha,Singh,Male,26,sneha.singh23@outlook.com,9024575020,Kolkata,West Bengal,700012,2024-01-24
24,Manish,Verma,Male,41,manish.verma24@yahoo.com,9385030522,Jaipur,Rajasthan,302026,2024-03-27
25,Sai,Choudhary,Male,37,sai.choudhary25@gmail.com,9935486250,Vadodara,Gujarat,390012,2024-02-18
26,Manish,Das,Female,31,manish.das26@outlook.com,9965093886,Pune,Maharashtra,411073,2025-04-17
27,Sneha,Khan,Female,35,sneha.khan27@gmail.com,9571325363,Kanpur,Uttar Pradesh,208092,2025-01-07
28,Pari,Iyer,Female,26,pari.iyer28@outlook.com,9862610568,Kanpur,Uttar Pradesh,208070,2024-01-20
29,Arjun,Gupta,Male,28,arjun.gupta29@yahoo.com,9450064467,Chandigarh,Chandigarh,160048,2024-01-22
30,Diya,Kaur,Male,22,diya.kaur30@gmail.com,9494276332,Chandigarh,Chandigarh,160092,2024-05-24
31,Aadhya,Sharma,Female,31,aadhya.sharma31@outlook.com,9834018463,Kolkata,West Bengal,700025,2024-03-19
32,Rohan,Yadav,Male,31,rohan.yadav32@outlook.com,9447470165,Chandigarh,Chandigarh,160069,2024-12-10
33,Jiya,Patel,Male,27,jiya.patel33@outlook.com,9841072042,Bengaluru,Karnataka,560097,2024-07-17
34,Saanvi,Khan,Female,27,saanvi.khan34@yahoo.com,9451790281,Chennai,Tamil Nadu,600051,2024-04-13
35,Anika,Choudhary,Male,20,anika.choudhary35@gmail.com,9991815103,Patna,Bihar,800075,2025-03-19
36,Rohan,Mehta,Male,30,rohan.mehta36@outlook.com,9618781201,Lucknow,Uttar Pradesh,226077,2024-04-09
37,Aarohi,Bansal,Male,33,aarohi.bansal37@yahoo.com,9691393812,Nagpur,Maharashtra,440021,2024-04-12
38,Navya,Yadav,Female,26,navya.yadav38@gmail.com,9256660668,Chennai,Tamil Nadu,600083,2024-08-23
39,Aditya,Verma,Female,16,aditya.verma39@yahoo.com,9972221905,Lucknow,Uttar Pradesh,226034,2024-07-30
40,Sneha,Ghosh,Male,22,sneha.ghosh40@yahoo.com,9265338139,Pune,Maharashtra,411096,2024-03-13
41,Krishna,Agarwal,Female,22,krishna.agarwal41@yahoo.com,9775782409,Kolkata,West Bengal,700005,2025-04-17
42,Diya,Singh,Female,27,diya.singh42@outlook.com,9815330379,Patna,Bihar,800089,2025-08-21
43,Shruti,Singh,Male,22,shruti.singh43@outlook.com,9217613782,Nagpur,Maharashtra,440086,2024-02-18
44,Sneha,Jain,Male,27,sneha.jain44@outlook.com,9108993298,Surat,Gujarat,395010,2024-02-29
45,Sneha,Ghosh,Male,16,sneha.ghosh45@yahoo.com,9537145188,Noida,Uttar Pradesh,201311,2025-05-14
46,Ishaan,Das,Male,25,ishaan.das46@gmail.com,9518038915,Surat,Gujarat,395049,2024-12-23
47,Manish,Verma,Female,30,manish.verma47@gmail.com,9446779367,New Delhi,Delhi,110017,2025-02-13
48,Pari,Choudhary,Female,30,pari.choudhary48@gmail.com,9074489552,Hyderabad,Telangana,500025,2024-09-24
49,Suhani,Reddy,Female,28,suhani.reddy49@gmail.com,9771521392,New Delhi,Delhi,110048,2025-04-13
50,Priya,Jain,Male,31,priya.jain50@gmail.com,9686454440,Gurugram,Haryana,122096,2024-09-13
51,Shruti,Nair,Male,36,shruti.nair51@outlook.com,9935933644,Surat,Gujarat,395040,2025-02-22
52,Ayaan,Patel,Female,20,ayaan.patel52@gmail.com,9994472455,Hyderabad,Telangana,500049,2024-03-04
53,Sai,Mukherjee,Male,22,sai.mukherjee53@outlook.com,9057127531,Kanpur,Uttar Pradesh,208021,2024-10-03
54,Anaya,Agarwal,Male,56,anaya.agarwal54@gmail.com,9041846673,Indore,Madhya Pradesh,452067,2024-08-02
55,Pari,Yadav,Female,21,pari.yadav55@outlook.com,9642064127,Indore,Madhya Pradesh,452038,2024-02-10
56,Sai,Choudhary,Male,45,sai.choudhary56@gmail.com,9206816029,Noida,Uttar Pradesh,201399,2024-02-21
57,Ishaan,Yadav,Female,33,ishaan.yadav57@yahoo.com,9037442688,Ahmedabad,Gujarat,380025,2024-12-01
58,Diya,Tripathi,Male,32,diya.tripathi58@gmail.com,9582565141,Noida,Uttar Pradesh,201362,2024-10-19
59,Ayaan,Das,Male,26,ayaan.das59@outlook.com,9057735953,Bhopal,Madhya Pradesh,462039,2024-06-24
60,Pari,Ghosh,Female,38,pari.ghosh60@outlook.com,9670849363,Indore,Madhya Pradesh,452060,2024-01-14
61,Aarohi,Choudhary,Male,28,aarohi.choudhary61@outlook.com,9257041620,Bhopal,Madhya Pradesh,462057,2024-07-14
62,Krishna,Ghosh,Male,26,krishna.ghosh62@yahoo.com,9533203017,Chandigarh,Chandigarh,160009,2024-03-08
63,Harsh,Ghosh,Male,32,harsh.ghosh63@outlook.com,9495585814,Chennai,Tamil Nadu,600040,2025-08-03
64,Aarav,Patel,Male,37,aarav.patel64@gmail.com,9506247953,Surat,Gujarat,395034,2025-04-20
65,Rohan,Gupta,Other,20,rohan.gupta65@gmail.com,9027073201,Surat,Gujarat,395079,2024-03-28
66,Ayaan,Yadav,Female,47,ayaan.yadav66@outlook.com,9332122405,Noida,Uttar Pradesh,201312,2024-12-08
67,Ishaan,Verma,Male,36,ishaan.verma67@outlook.com,9677831933,New Delhi,Delhi,110084,2024-05-05
68,Ishaan,Singh,Female,33,ishaan.singh68@yahoo.com,9539586584,Kolkata,West Bengal,700062,2025-08-11
69,Pari,Bansal,Female,29,pari.bansal69@gmail.com,9899956127,Patna,Bihar,800014,2024-04-21
70,Aadhya,Choudhary,Male,26,aadhya.choudhary70@outlook.com,9694406560,Jaipur,Rajasthan,302062,2024-04-11
71,Vivaan,Singh,Female,19,vivaan.singh71@yahoo.com,9682432463,Mumbai,Maharashtra,400073,2024-02-26
72,Riya,Iyer,Female,31,riya.iyer72@yahoo.com,9288545260,Ahmedabad,Gujarat,380038,2025-04-07
73,Aarav,Das,Female,32,aarav.das73@outlook.com,9400034181,Kolkata,West Bengal,700054,2024-01-14
74,Sneha,Gupta,Female,26,sneha.gupta74@gmail.com,9984809400,Jaipur,Rajasthan,302017,2025-04-22
75,Vihaan,Yadav,Male,33,vihaan.yadav75@yahoo.com,9493835878,Chennai,Tamil Nadu,600063,2024-08-22
76,Sai,Iyer,Female,20,sai.iyer76@outlook.com,9516796453,Jaipur,Rajasthan,302067,2024-06-11
77,Suhani,Ghosh,Female,43,suhani.ghosh77@yahoo.com,9449614816,Vadodara,Gujarat,390060,2025-07-05
78,Shruti,Gupta,Male,26,shruti.gupta78@outlook.com,9890525709,Kanpur,Uttar Pradesh,208093,2024-04-04
79,Anika,Sharma,Female,21,anika.sharma79@gmail.com,9083645760,Hyderabad,Telangana,500023,2025-09-08
80,Anika,Agarwal,Female,26,anika.agarwal80@yahoo.com,9675779782,Kolkata,West Bengal,700060,2025-04-25
81,Jiya,Tripathi,Female,67,jiya.tripathi81@gmail.com,9941462923,Pune,Maharashtra,411068,2024-06-21
82,Aadhya,Mukherjee,Female,35,aadhya.mukherjee82@yahoo.com,9648481391,Lucknow,Uttar Pradesh,226044,2024-03-22
83,Aarav,Sharma,Male,29,aarav.sharma83@gmail.com,9730118506,Indore,Madhya Pradesh,452003,2025-04-18
84,Manan,Reddy,Male,22,manan.reddy84@outlook.com,9247348884,Kolkata,West Bengal,700001,2024-12-25
